x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,heading_rad,curvature_radpm
205.438282,729.743756,6.345,6.146,1199.943071136336,1.6743408179119332,-0.00026106895212249563
204.924819,734.716458,6.346,6.157,1204.9422120058427,1.6729893687897495,-0.00027958835114962646
204.418446,739.688497,6.346,6.167,1209.9399700464696,1.6716898210994375,-0.0002404210274268003
203.918119,744.660427,6.347,6.178,1214.937010673864,1.6705872827170558,-0.00020082313035339524
203.422787,749.632803,6.348,6.189,1219.9339974534744,1.6696830035376324,-0.00016108485307707754
202.931398,754.606182,6.349,6.2,1224.931593058059,1.6689772388501616,-0.00012134577066910615
202.442902,759.581116,6.34,6.222,1229.93045259263,1.6684700460670743,-8.157692054205952e-05
201.956248,764.558163,6.317,6.259,1234.9312354269396,1.668161515014559,-4.182599730330297e-05
201.470385,769.537877,6.294,6.295,1239.9345957354287,1.668051528167091,-2.1593460185799284e-06
200.984262,774.520813,6.271,6.332,1244.9411880646708,1.668162638040817,4.651137913385353e-05
200.496643,779.507064,6.248,6.369,1249.9512251228334,1.6686030469549444,0.00012927938342019058
200.005597,784.494998,6.225,6.406,1254.9632717868692,1.669478278241852,0.00022001513006975388
199.509032,789.482577,6.202,6.442,1259.9755089201726,1.6708091026331797,0.00031112377849266466
199.004854,794.467765,6.179,6.479,1264.986127130636,1.67259714970433,0.00040275357988821546
198.490971,799.448525,6.157,6.516,1269.9933265390168,1.6748449542662585,0.0004953151413918444
197.96529,804.42282,6.134,6.552,1274.9953212672015,1.6775562145703162,0.0005890618777355694
197.425718,809.388614,6.111,6.589,1279.9903435888352,1.680735538362002,0.0006843069975990284
196.870162,814.343869,6.088,6.626,1284.9766442801456,1.6843798372953909,0.0007778437745201746
196.296611,819.286593,6.065,6.662,1289.9525342799122,1.6871606230550689,0.0003386781671850051
195.715503,824.221836,6.042,6.699,1294.9218712554768,1.6849909766781375,-0.0012101869300362618
195.163132,829.16926,6.019,6.736,1299.9000353706317,1.6748153819449982,-0.002864836145220065
194.679008,834.150344,5.996,6.772,1304.904590681789,1.6564863722706376,-0.004434575309549166
194.302641,839.186571,5.973,6.809,1309.9548614185137,1.6330236543875758,-0.004843357708815628
194.047452,844.286415,5.95,6.846,1315.0610860757392,1.6249871720684306,0.0016470833551845436
193.750235,849.370305,5.927,6.883,1320.1536566915668,1.6575577683986644,0.011378303141392695
193.174545,854.322159,6.367,6.48,1325.138862506116,1.7417124176240442,0.0228438322108896
192.0837,859.025777,6.998,5.874,1329.967316203103,1.9034567117291643,0.04535134761249431
190.109368,863.19387,7.154,5.798,1334.5793641324804,2.302298660293076,0.12417395713760553
186.191638,865.589822,6.822,6.207,1339.1716614158893,2.751774462868968,0.061219535435611164
181.176366,866.863926,6.445,6.633,1344.3462429677445,2.894280724695446,0.0005791936449902901
176.2529,868.09916,6.444,6.607,1349.4222966010223,2.914073565477794,0.00727753669569371
171.335023,869.142472,6.446,6.579,1354.4496233376162,2.9503872907927913,0.007096097130871218
166.381963,870.009878,6.447,6.551,1359.478062114457,2.957454597544626,-0.0043100471597827565
161.478743,870.978183,6.449,6.522,1364.4759797749857,2.905240805211021,-0.01670616870075859
